timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1779146066.92;9760;ESP32-IDS-01;28.5;63.7;732;19;1;0.9;normal
1.779.155.010.927;279007;ESP32-IDS-01;30.0;62.5;460;29;10;5.67;dos
1.779.150.432.815;234808;ESP32-IDS-01;28.9;68.0;439;31;10;7.36;dos
1.779.158.117.481;270716;ESP32-IDS-01;30.3;60.7;944;46;40;1.56;dos
1.779.145.152.869;419786;ESP32-IDS-01;28.2;67.5;442;19;3;1.1;normal
1.779.148.262.654;67120;ESP32-IDS-01;28.1;70.1;841;19;4;1.9;normal
1.779.154.255.352;43392;ESP32-IDS-01;30.0;62.6;330;445;638;0.2;dos
1.779.160.082.625;34004;ESP32-IDS-01;30.7;59.9;777;378;1044;2.89;dos
1.779.154.333.687;11767;ESP32-IDS-01;30.0;62.4;965;366;1036;4.44;dos
1.779.145.966.902;149169;ESP32-IDS-01;28.6;64.7;349;19;2;2.9;normal
1.779.150.242.856;44889;ESP32-IDS-01;28.9;67.9;2755;17;0;2.5;dos
1.779.148.436.411;240871;ESP32-IDS-01;28.7;69.6;1000;22;4;1.0;normal
1.779.159.821.481;74486;ESP32-IDS-01;30.7;61.1;602;24;7;1.86;dos
1.779.149.717.449;1521961;ESP32-IDS-01;29.0;67.9;744;21;1;2.5;normal
1.779.149.665.844;1470374;ESP32-IDS-01;29.0;67.8;828;20;1;0.5;normal
1.779.148.889.156;693668;ESP32-IDS-01;28.9;68.5;834;20;0;3.2;normal
1.779.151.100.981;902959;ESP32-IDS-01;29.7;65.4;427;37;29;2.8;dos
1.779.149.635.283;1439788;ESP32-IDS-01;29.0;67.7;736;23;9;3.0;normal
1.779.155.663.792;7310;ESP32-IDS-01;30.0;60.8;626;9999;0;3.3;dos
1.779.149.541.256;1345756;ESP32-IDS-01;29.0;68.0;811;31;33;3.4;normal
1.779.156.224.356;81320;ESP32-IDS-01;30.1;61.9;931;27;14;1.97;dos
1.779.151.986.976;1785720;ESP32-IDS-01;29.8;64.3;3365;402;993;3.4;dos
1.779.150.649.852;451858;ESP32-IDS-01;29.2;67.2;440;30;29;14.36;dos
1.779.148.355.561;160056;ESP32-IDS-01;28.5;70.1;685;20;0;3.0;normal
1.779.148.746.473;550954;ESP32-IDS-01;29.0;68.4;349;20;0;0.2;normal
1.779.146.395.897;23663;ESP32-IDS-01;28.7;62.3;728;20;1;1.3;normal
1.779.157.260.021;86403;ESP32-IDS-01;30.1;62.2;931;39;33;3.05;dos
1.779.146.282.604;225451;ESP32-IDS-01;28.6;64.6;584;19;1;0.6;normal
1779149063.04;867562;ESP32-IDS-01;29.0;68.2;379;19;2;2.2;normal
1.779.145.587.603;854531;ESP32-IDS-01;28.4;66.2;802;20;0;3.2;normal
1.779.146.490.006;117750;ESP32-IDS-01;28.6;64.4;654;21;3;2.4;normal
1.779.167.437.682;476589;ESP32-IDS-01;28.6;52.4;321;18;2;1.5;dos
1.779.151.389.832;1191898;ESP32-IDS-01;29.9;64.3;399;20;0;2.0;dos
1.779.151.391.493;1193555;ESP32-IDS-01;29.9;64.3;926;21;2;2.3;dos
1.779.146.365.224;47252;ESP32-IDS-01;28.7;65.0;873;20;1;1.3;normal
1.779.148.998.034;802525;ESP32-IDS-01;29.0;68.2;369;20;0;2.9;normal
1.779.146.437.604;65173;ESP32-IDS-01;28.7;64.2;604;86;101;2.0;normal
1.779.156.634.115;324091;ESP32-IDS-01;30.1;61.7;919;32;21;7.03;dos
1.779.165.924.024;30058;ESP32-IDS-01;31.5;57.5;3111;36;34;3.72;dos
1.779.145.737.387;24862;ESP32-IDS-01;28.5;65.5;486;20;1;2.4;normal
1.779.145.946.023;128289;ESP32-IDS-01;28.6;65.9;965;19;3;0.2;normal
1.779.145.335.557;602475;ESP32-IDS-01;28.3;68.1;542;21;3;0.2;normal
1.779.145.770.825;58325;ESP32-IDS-01;28.5;64.9;799;20;1;3.2;normal
1.779.150.695.104;497092;ESP32-IDS-01;29.4;66.8;959;29;13;6.21;dos
1.779.145.112.612;379523;ESP32-IDS-01;28.2;69.3;324;20;1;3.3;normal
1.779.149.771.138;1575685;ESP32-IDS-01;29.0;67.8;761;19;1;1.4;normal
1.779.156.540.601;233170;ESP32-IDS-01;30.0;61.7;672;17;3;3.69;dos
1.779.155.276.123;544245;ESP32-IDS-01;30.0;62.3;321;25;14;1.5;dos
1779158294.37;447672;ESP32-IDS-01;30.4;60.9;1151;18;0;1.17;dos
1.779.145.837.193;19430;ESP32-IDS-01;28.5;65.8;655;18;0;2.5;normal
1.779.145.546.708;813458;ESP32-IDS-01;28.4;68.0;688;79;93;0.7;normal
1.779.156.302.177;157939;ESP32-IDS-01;30.0;61.8;1680;406;1018;0.9;dos
1.779.146.194.602;137421;ESP32-IDS-01;28.6;62.9;773;19;1;2.5;normal
1.779.149.301.157;1105416;ESP32-IDS-01;28.9;68.3;419;109;269;1.9;normal
1.779.148.390.286;194785;ESP32-IDS-01;28.6;69.9;648;19;1;2.2;normal
1.779.153.971.355;108339;ESP32-IDS-01;30.0;62.5;808;25;7;1.44;dos
1.779.149.681.135;1485677;ESP32-IDS-01;29.0;67.8;885;19;2;3.0;normal
1.779.146.547.545;44104;ESP32-IDS-01;28.6;64.8;549;29;17;3.4;normal
1.779.145.292.845;559762;ESP32-IDS-01;28.3;69.2;927;19;4;3.2;normal
1.779.146.446.123;73866;ESP32-IDS-01;28.7;64.9;570;20;2;3.3;normal
1779151500.1;1302145;ESP32-IDS-01;30.0;64.0;367;20;1;2.6;dos
1.779.150.244.413;46412;ESP32-IDS-01;28.9;67.9;455;20;0;2.9;dos
1.779.153.384.732;359547;ESP32-IDS-01;30.1;62.6;439;27;15;2.8;dos
1.779.158.374.685;43310;ESP32-IDS-01;30.4;61.0;5750;74;33;1.67;dos
1.779.145.116.893;383775;ESP32-IDS-01;28.2;69.6;598;27;24;2.2;normal
1.779.153.928.754;65706;ESP32-IDS-01;30.0;62.5;1182;57;14;2.15;dos
1.779.155.177.967;443436;ESP32-IDS-01;30.1;62.2;526;63;9;1.5;dos
1779145655.48;922419;ESP32-IDS-01;28.4;66.7;1179;18;1;1.2;normal
1779165433.51;1105233;ESP32-IDS-01;31.1;59.1;2304;23;5;2.6;dos
1.779.145.500.148;767072;ESP32-IDS-01;28.3;68.7;500;21;0;1.0;normal
1.779.149.668.541;1473078;ESP32-IDS-01;29.0;67.8;547;21;1;1.2;normal
1.779.146.241.226;184075;ESP32-IDS-01;28.6;63.9;514;18;2;0.3;normal
1.779.145.402.355;669277;ESP32-IDS-01;28.3;67.5;404;20;0;2.9;normal
1.779.149.369.786;1174317;ESP32-IDS-01;29.0;68.2;771;19;1;2.2;normal
1.779.148.314.855;119352;ESP32-IDS-01;28.3;70.3;428;18;2;3.4;normal
1.779.158.025.339;178534;ESP32-IDS-01;30.2;61.0;933;56;20;0.3;dos
1.779.166.066.985;170969;ESP32-IDS-01;31.5;56.4;933;16;2;1.37;dos
1.779.149.402.381;1206903;ESP32-IDS-01;29.0;68.1;564;22;2;1.9;normal
1779145930.68;112939;ESP32-IDS-01;28.6;64.9;710;21;2;3.0;normal
1.779.159.955.577;88592;ESP32-IDS-01;30.5;61.5;563;26;14;3.08;dos
1.779.155.905.733;38293;ESP32-IDS-01;30.0;62.2;965;23;7;4.44;dos
1.779.145.391.864;658783;ESP32-IDS-01;28.3;68.5;785;19;1;1.2;normal
1.779.165.338.405;1004880;ESP32-IDS-01;31.0;59.3;1308;154;153;1.6;dos
1.779.146.701.245;76476;ESP32-IDS-01;28.6;63.6;842;84;190;0.9;normal
1.779.146.445.523;73296;ESP32-IDS-01;28.7;63.7;903;19;3;3.5;normal
1.779.152.968.504;437797;ESP32-IDS-01;29.9;63.1;10000;1215;804;1.66;dos
1.779.146.382.921;10689;ESP32-IDS-01;28.7;65.3;965;20;1;3.4;normal
1.779.153.094.701;53203;ESP32-IDS-01;29.9;63.1;972;3257;1814;1.5;dos
1.779.146.544.741;41331;ESP32-IDS-01;28.6;62.0;934;19;3;2.5;normal
1.779.148.624.247;428748;ESP32-IDS-01;28.8;69.1;754;21;2;2.3;normal
1779152166.15;1960805;ESP32-IDS-01;29.9;64.3;6172;174;163;1.76;dos
1.779.158.198.773;352070;ESP32-IDS-01;30.3;60.6;2847;23;6;3.15;dos
1.779.148.639.111;443619;ESP32-IDS-01;28.8;69.0;977;19;2;3.0;normal
1.779.154.863.046;122055;ESP32-IDS-01;30.0;62.2;10000;2249;1611;1.37;dos
1.779.159.238.797;49969;ESP32-IDS-01;30.5;60.8;820;23;5;2.92;dos
1.779.145.815.951;31893;ESP32-IDS-01;28.5;66.1;998;23;8;0.2;normal
1.779.148.808.625;613136;ESP32-IDS-01;28.9;68.5;347;19;1;0.1;normal
1.779.146.382.921;10689;ESP32-IDS-01;28.7;65.3;965;20;1;3.4;normal
1.779.145.563.519;830447;ESP32-IDS-01;28.4;68.0;535;20;0;1.9;normal
1.779.146.670.239;45663;ESP32-IDS-01;28.6;63.1;379;19;1;0.3;normal
1.779.151.417.836;1219905;ESP32-IDS-01;29.9;64.3;739;19;2;2.2;dos
1.779.150.125.351;1929874;ESP32-IDS-01;28.9;67.9;844;30;10;0.6;dos
1.779.153.097.531;53203;ESP32-IDS-01;29.9;63.1;972;3257;1814;1.5;dos
1.779.151.273.479;1075541;ESP32-IDS-01;29.9;64.6;760;20;0;2.3;dos
1.779.155.907.807;40351;ESP32-IDS-01;30.0;62.2;686;27;15;3.26;dos
1.779.165.837.605;92013;ESP32-IDS-01;31.4;57.8;480;24;4;0.4;dos
1.779.165.969.687;75765;ESP32-IDS-01;31.4;57.6;463;23;7;0.4;dos
1.779.145.413.502;680425;ESP32-IDS-01;28.3;68.7;810;20;0;2.7;normal
1779148395.19;199653;ESP32-IDS-01;28.6;69.9;306;31;16;2.4;normal
1.779.165.020.697;686479;ESP32-IDS-01;30.6;60.6;592;2011;4325;2.3;dos
1.779.149.252.891;1057416;ESP32-IDS-01;28.9;68.5;524;20;1;3.4;normal
1.779.145.673.451;940374;ESP32-IDS-01;28.4;66.5;732;23;6;1.8;normal
1.779.150.112.831;1917353;ESP32-IDS-01;28.9;67.9;457;21;1;2.2;dos
1.779.154.144.912;277158;ESP32-IDS-01;30.0;62.5;1136;550;1033;3.3;dos
1.779.159.778.137;31154;ESP32-IDS-01;30.8;60.9;2338;18;1;2.23;dos
1.779.151.494.478;1296547;ESP32-IDS-01;30.0;64.0;704;20;0;0.5;dos
1.779.149.469.243;1273775;ESP32-IDS-01;28.9;68.2;774;20;2;2.8;normal
1.779.164.846.418;518156;ESP32-IDS-01;30.4;61.7;963;28;10;3.5;dos
1.779.145.627.199;894104;ESP32-IDS-01;28.4;65.4;935;20;2;0.6;normal
1779153839.27;180377;ESP32-IDS-01;30.0;62.5;529;26;14;3.99;dos
1779167115.83;154693;ESP32-IDS-01;28.8;53.5;903;21;2;3.5;dos
1.779.154.155.142;292175;ESP32-IDS-01;29.9;62.7;436;24;10;2.39;dos
1.779.145.267.555;534420;ESP32-IDS-01;28.2;67.1;447;36;26;2.9;normal
1.779.146.188.116;130962;ESP32-IDS-01;28.6;61.4;970;19;0;0.5;normal
1.779.145.208.811;475495;ESP32-IDS-01;28.3;68.5;370;89;108;1.6;normal
1.779.145.687.057;953986;ESP32-IDS-01;28.4;64.2;575;21;1;1.6;normal
1.779.151.007.068;808229;ESP32-IDS-01;29.6;65.9;1221;315;412;2.2;dos
1.779.166.619.557;152456;ESP32-IDS-01;29.3;54.7;918;9999;0;2.79;dos
1.779.157.211.566;38000;ESP32-IDS-01;30.1;62.3;1152;23;6;3.4;dos
1.779.145.491.232;758158;ESP32-IDS-01;28.3;68.0;818;20;2;1.1;normal
1.779.160.136.371;52546;ESP32-IDS-01;30.7;61.1;820;32;16;2.92;dos
1.779.159.142.833;86248;ESP32-IDS-01;30.5;60.7;1433;18;0;2.0;dos
1.779.145.902.305;84540;ESP32-IDS-01;28.6;65.3;633;20;3;0.8;normal
1.779.145.433.281;700204;ESP32-IDS-01;28.3;71.3;655;20;0;1.7;normal
1.779.151.807.732;1608274;ESP32-IDS-01;29.8;64.5;633;530;752;3.78;dos
1.779.154.708.587;376908;ESP32-IDS-01;30.1;62.3;752;9999;0;4.53;dos
1.779.145.941.393;123656;ESP32-IDS-01;28.6;62.9;990;20;0;1.1;normal
1779148334.38;138880;ESP32-IDS-01;28.4;70.3;420;18;2;3.1;normal
1779160091.65;7835;ESP32-IDS-01;30.7;59.9;626;27;9;4.9;dos
1.779.148.230.825;35317;ESP32-IDS-01;27.9;69.0;995;20;1;2.2;normal
1.779.148.689.965;494451;ESP32-IDS-01;28.9;68.8;561;24;6;2.5;normal
1.779.154.812.883;71065;ESP32-IDS-01;30.0;62.3;10000;9999;0;2.47;dos
1.779.146.063.854;6701;ESP32-IDS-01;28.5;66.1;516;17;2;0.1;normal
1.779.153.167.145;141921;ESP32-IDS-01;29.9;63.2;601;38;18;2.16;dos
1.779.151.548.118;1350188;ESP32-IDS-01;29.9;64.1;554;21;1;1.9;dos
1.779.156.225.352;82278;ESP32-IDS-01;30.1;61.9;958;36;18;1.24;dos
1.779.145.235.193;502081;ESP32-IDS-01;28.3;68.9;850;21;1;3.0;normal
1.779.145.306.515;573433;ESP32-IDS-01;28.3;69.0;944;20;0;0.7;normal
1.779.150.160.935;1965490;ESP32-IDS-01;28.9;68.0;869;20;1;3.4;dos
1.779.167.084.823;123718;ESP32-IDS-01;28.8;53.1;7725;17;1;0.33;dos
1.779.148.757.293;561764;ESP32-IDS-01;28.9;68.5;762;31;11;3.3;normal
1.779.151.581.353;1383429;ESP32-IDS-01;29.9;64.2;872;19;2;2.1;dos
1.779.149.543.888;1348229;ESP32-IDS-01;29.0;68.0;637;20;1;2.4;normal
1.779.146.556.135;52722;ESP32-IDS-01;28.6;64.0;933;20;1;0.3;normal
1.779.149.134.105;938621;ESP32-IDS-01;28.9;68.4;632;20;1;0.1;normal
1.779.167.125.307;164202;ESP32-IDS-01;28.8;53.3;755;19;3;2.6;dos
1.779.148.707.782;512263;ESP32-IDS-01;28.9;68.7;436;20;1;3.0;normal
1779158068.98;222271;ESP32-IDS-01;30.2;61.0;1181;23;3;2.85;dos
1.779.148.291.519;96014;ESP32-IDS-01;28.2;70.4;750;19;2;2.3;normal
1.779.151.287.072;1089136;ESP32-IDS-01;29.9;64.5;562;19;1;2.3;dos
1.779.145.112.612;379523;ESP32-IDS-01;28.2;69.3;324;20;1;3.3;normal
1.779.146.305.232;248081;ESP32-IDS-01;28.6;64.9;646;19;1;1.2;normal
1.779.148.371.505;176001;ESP32-IDS-01;28.5;70.0;471;19;4;0.8;normal
1.779.166.376.874;43621;ESP32-IDS-01;30.0;55.6;479;33;21;1.5;dos
1.779.165.703.987;1375798;ESP32-IDS-01;31.4;58.2;628;26;5;4.38;dos
1.779.165.524.455;1196163;ESP32-IDS-01;31.2;58.8;658;46;36;3.52;dos
1.779.149.214.267;1018790;ESP32-IDS-01;28.8;68.5;442;19;0;1.1;normal
1.779.145.929.036;111274;ESP32-IDS-01;28.6;64.9;387;20;1;0.6;normal
1779148284.01;88503;ESP32-IDS-01;28.2;70.4;830;20;1;1.8;normal
1.779.149.467.209;1271552;ESP32-IDS-01;28.9;68.2;889;83;96;0.5;normal
1779148714.68;519181;ESP32-IDS-01;29.0;68.5;934;22;3;0.3;normal
1.779.148.935.351;739865;ESP32-IDS-01;28.9;68.5;555;20;0;0.4;normal
1.779.148.361.197;165670;ESP32-IDS-01;28.5;70.1;494;18;2;3.4;normal
1.779.151.528.044;1330114;ESP32-IDS-01;29.9;64.1;708;20;0;2.0;dos
1.779.150.115.777;1920306;ESP32-IDS-01;28.9;67.9;363;19;1;3.5;dos
1.779.157.393.091;92573;ESP32-IDS-01;30.1;61.7;876;17;1;3.14;dos
1.779.164.980.371;652098;ESP32-IDS-01;30.6;60.7;646;23;5;2.75;dos
1.779.149.357.568;1162098;ESP32-IDS-01;29.0;68.2;623;19;2;2.0;normal
1.779.166.561.302;106513;ESP32-IDS-01;29.4;55.0;601;36;21;0.5;dos
1.779.154.562.131;241262;ESP32-IDS-01;30.1;62.3;518;19;2;7.06;dos
1.779.167.171.212;210096;ESP32-IDS-01;28.7;53.2;613;21;2;0.3;dos
1.779.148.710.914;515424;ESP32-IDS-01;29.0;68.6;457;19;2;0.5;normal
1.779.149.540.412;1344945;ESP32-IDS-01;29.0;68.0;905;21;1;0.9;normal
1.779.157.079.533;225691;ESP32-IDS-01;29.9;62.6;553;20;5;2.0;dos
1.779.146.591.808;88396;ESP32-IDS-01;28.6;62.8;830;19;3;1.8;normal
1.779.151.439.167;1241235;ESP32-IDS-01;30.0;64.1;363;20;0;3.4;dos
1.779.155.143.598;411605;ESP32-IDS-01;30.1;62.2;634;50;26;5.65;dos
1.779.149.512.737;1317275;ESP32-IDS-01;29.0;68.0;757;19;3;3.3;normal
1.779.152.982.249;458964;ESP32-IDS-01;29.9;61.5;681;34;26;3.1;dos
1779145471.26;738195;ESP32-IDS-01;28.3;68.8;321;17;1;3.2;normal
1779149177.02;981543;ESP32-IDS-01;28.8;68.5;541;20;1;2.2;normal
1.779.146.088.111;30947;ESP32-IDS-01;28.5;64.7;823;21;3;2.9;normal
1.779.157.115.986;228998;ESP32-IDS-01;29.9;62.6;535;9999;0;1.0;dos
1.779.151.238.681;1040717;ESP32-IDS-01;29.8;64.8;675;19;1;1.3;dos
1.779.166.561.767;106980;ESP32-IDS-01;29.4;55.0;467;29;12;6.38;dos
1.779.165.406.874;1063451;ESP32-IDS-01;31.0;59.2;976;9999;0;2.42;dos
1.779.155.500.996;191674;ESP32-IDS-01;30.0;62.2;535;25;12;2.87;dos
1779154144.76;277158;ESP32-IDS-01;30.0;62.5;1136;550;1033;3.3;dos
1.779.158.068.816;221090;ESP32-IDS-01;30.2;61.0;799;358;1021;3.2;dos
1.779.164.805.188;476959;ESP32-IDS-01;30.3;62.1;315;22;5;2.4;dos
1.779.149.016.649;820995;ESP32-IDS-01;29.0;68.2;305;77;87;0.3;normal
1.779.151.375.713;1177754;ESP32-IDS-01;29.9;64.3;592;19;3;2.8;dos
1.779.148.921.207;725722;ESP32-IDS-01;28.9;68.5;362;20;1;1.8;normal
1779149671.47;1476014;ESP32-IDS-01;29.0;67.8;566;18;2;3.1;normal
1.779.159.824.281;77289;ESP32-IDS-01;30.7;61.1;1236;24;11;2.11;dos
1.779.150.289.905;89107;ESP32-IDS-01;28.9;67.9;4466;959;2725;0.8;dos
1.779.148.374.106;178602;ESP32-IDS-01;28.5;70.0;395;20;0;0.5;normal
1.779.148.810.523;615039;ESP32-IDS-01;28.9;68.5;533;18;2;0.8;normal
1.779.145.416.212;683134;ESP32-IDS-01;28.3;68.7;862;20;0;0.4;normal
1.779.166.422.955;89690;ESP32-IDS-01;29.8;54.5;463;20;5;0.4;dos
1.779.148.308.329;112821;ESP32-IDS-01;28.3;70.3;710;20;2;3.0;normal
1.779.159.099.552;42944;ESP32-IDS-01;30.4;60.8;732;16;0;6.36;dos
1.779.165.246.794;917484;ESP32-IDS-01;30.9;59.6;1731;387;527;1.08;dos
1779155188.27;456374;ESP32-IDS-01;30.0;62.3;653;27;16;2.5;dos
1.779.149.146.516;951042;ESP32-IDS-01;28.9;68.4;435;19;2;1.7;normal
1.779.145.166.831;433746;ESP32-IDS-01;28.3;71.9;707;20;0;3.1;normal
1.779.148.371.505;176001;ESP32-IDS-01;28.5;70.0;471;19;4;0.8;normal
1.779.148.320.135;124580;ESP32-IDS-01;28.4;70.3;345;36;45;2.1;normal
1.779.149.069.497;874020;ESP32-IDS-01;29.0;68.2;355;18;0;0.8;normal
1.779.155.949.849;82389;ESP32-IDS-01;30.0;62.2;463;29;39;6.88;dos
1779151359.47;1161508;ESP32-IDS-01;29.9;64.4;453;20;0;0.3;dos
1.779.149.129.651;934167;ESP32-IDS-01;28.9;68.4;985;20;0;3.1;normal
1.779.145.720.787;8114;ESP32-IDS-01;28.5;67.1;777;79;90;1.6;normal
1779167392.29;431052;ESP32-IDS-01;28.6;52.4;595;53;14;2.18;dos
1.779.145.603.259;870185;ESP32-IDS-01;28.4;68.0;780;20;3;0.7;normal
1.779.146.012.001;194263;ESP32-IDS-01;28.6;63.9;738;20;1;2.8;normal
1.779.166.104.239;208262;ESP32-IDS-01;31.6;57.7;4382;34;17;3.23;dos
1.779.158.699.476;180953;ESP32-IDS-01;30.1;61.7;971;24;10;4.13;dos
1779149546.25;1350585;ESP32-IDS-01;29.0;68.0;571;87;101;0.7;normal
1.779.152.570.431;44523;ESP32-IDS-01;29.9;63.5;1310;69;26;3.66;dos
1.779.165.027.629;699413;ESP32-IDS-01;30.7;60.4;956;17;0;4.55;dos
1.779.146.526.984;23474;ESP32-IDS-01;28.6;63.5;376;20;0;2.5;normal
1.779.148.378.051;182542;ESP32-IDS-01;28.5;70.0;897;21;2;2.8;normal
1.779.166.728.494;269615;ESP32-IDS-01;29.3;52.4;6069;529;575;0.3;dos
1.779.146.340.211;22041;ESP32-IDS-01;28.6;62.3;358;20;1;1.7;normal
1.779.145.929.975;112229;ESP32-IDS-01;28.6;64.9;955;20;5;1.8;normal
1.779.146.398.448;26214;ESP32-IDS-01;28.7;63.6;931;20;1;0.9;normal
1.779.146.500.832;128594;ESP32-IDS-01;28.6;64.4;468;22;8;2.6;normal
1.779.151.288.519;1090576;ESP32-IDS-01;29.9;64.5;743;22;6;2.6;dos
1.779.148.687.744;492252;ESP32-IDS-01;28.9;68.8;466;19;1;2.6;normal
1.779.159.770.523;20176;ESP32-IDS-01;30.8;59.6;1483;82;37;3.97;dos
1.779.145.434.619;701542;ESP32-IDS-01;28.3;71.3;910;20;0;2.7;normal
1.779.146.516.017;12600;ESP32-IDS-01;28.6;63.2;474;21;1;1.6;normal
1.779.158.065.996;214363;ESP32-IDS-01;30.2;61.0;3804;951;1315;3.16;dos
1.779.145.737.931;25433;ESP32-IDS-01;28.5;65.5;571;20;1;0.5;normal
1.779.148.489.924;294422;ESP32-IDS-01;28.7;69.5;936;20;0;3.0;normal
1.779.153.109.384;72156;ESP32-IDS-01;29.9;63.1;10000;9999;0;1.75;dos
1.779.145.251.932;518847;ESP32-IDS-01;28.3;68.9;466;20;0;2.6;normal
1.779.145.699.156;966066;ESP32-IDS-01;28.5;64.8;484;20;1;2.2;normal
1.779.165.384.296;1056087;ESP32-IDS-01;31.0;59.2;324;26;13;3.3;dos
1.779.151.468.924;1270978;ESP32-IDS-01;30.0;64.0;556;25;13;1.7;dos
1.779.149.039.303;843798;ESP32-IDS-01;29.0;68.2;936;19;2;1.2;normal
1.779.155.563.538;243652;ESP32-IDS-01;30.0;62.3;626;9999;0;4.9;dos
1.779.145.401.962;668873;ESP32-IDS-01;28.3;67.5;795;21;0;3.2;normal
1.779.146.016.524;198788;ESP32-IDS-01;28.6;61.8;643;20;1;0.5;normal
1.779.150.126.585;1931142;ESP32-IDS-01;28.9;67.9;836;19;3;1.4;dos
1.779.149.726.876;1531350;ESP32-IDS-01;29.0;67.9;356;38;60;1.1;normal
1.779.145.422.897;689817;ESP32-IDS-01;28.3;68.8;933;20;1;2.9;normal
1.779.154.416.212;92017;ESP32-IDS-01;30.0;62.4;2573;781;2183;3.29;dos
1.779.149.466.133;1270663;ESP32-IDS-01;28.9;68.2;482;20;1;1.5;normal
1.779.165.976.393;82486;ESP32-IDS-01;31.4;57.7;876;20;5;2.0;dos
1.779.151.420.093;1222158;ESP32-IDS-01;29.9;64.3;411;20;0;2.7;dos
1.779.154.953.782;220708;ESP32-IDS-01;30.0;62.5;3468;62;26;2.89;dos
1.779.146.230.653;173500;ESP32-IDS-01;28.6;63.3;593;19;2;1.8;normal
1.779.158.194.351;347505;ESP32-IDS-01;30.3;60.6;2947;65;33;1.24;dos
1.779.148.928.677;733191;ESP32-IDS-01;28.9;68.5;900;20;2;2.0;normal
1.779.152.097.245;1889731;ESP32-IDS-01;29.9;64.4;420;9999;0;2.4;dos
1.779.151.896.055;1696660;ESP32-IDS-01;29.8;64.4;675;487;626;1.2;dos
1.779.145.639.332;906264;ESP32-IDS-01;28.4;66.4;1000;20;1;1.0;normal
1.779.153.154.841;128568;ESP32-IDS-01;29.9;63.1;995;376;876;7.23;dos
1.779.158.462.816;67849;ESP32-IDS-01;30.2;61.4;10000;9999;0;0.47;dos
1.779.146.188.116;130962;ESP32-IDS-01;28.6;61.4;970;19;0;0.5;normal
1.779.159.410.359;210888;ESP32-IDS-01;30.5;61.2;10000;9999;0;2.95;dos
1.779.158.466.739;84137;ESP32-IDS-01;30.2;61.4;10000;597;396;2.56;dos
1.779.148.901.217;705726;ESP32-IDS-01;28.9;68.5;941;20;1;3.3;normal
1.779.156.892.606;38573;ESP32-IDS-01;30.0;61.0;4806;75;15;1.81;dos
1.779.154.021.023;158051;ESP32-IDS-01;30.0;62.5;993;23;6;5.31;dos
1.779.145.557.711;824636;ESP32-IDS-01;28.4;67.2;344;21;0;3.1;normal
1.779.145.925.929;108169;ESP32-IDS-01;28.6;64.6;752;19;1;3.2;normal
1.779.145.656.167;923092;ESP32-IDS-01;28.4;66.7;673;22;1;1.3;normal
1.779.151.448.702;1250770;ESP32-IDS-01;30.0;64.1;793;20;0;0.9;dos
1.779.149.314.676;1119200;ESP32-IDS-01;28.9;68.3;600;21;2;0.3;normal
1779145689.18;956088;ESP32-IDS-01;28.5;64.2;495;20;1;3.3;normal
1.779.154.011.414;143523;ESP32-IDS-01;30.0;62.5;10000;1328;2303;2.08;dos
1.779.155.274.012;542110;ESP32-IDS-01;30.0;62.3;440;24;6;3.0;dos
1.779.148.674.406;478889;ESP32-IDS-01;28.9;68.9;690;19;4;1.1;normal
1.779.159.855.042;88024;ESP32-IDS-01;30.7;61.1;7789;9999;0;0.53;dos
1.779.148.306.686;111156;ESP32-IDS-01;28.3;70.3;387;20;1;0.6;normal
1.779.148.361.901;166392;ESP32-IDS-01;28.5;70.1;722;20;1;0.8;normal
1779149496.39;1300882;ESP32-IDS-01;28.9;68.2;838;20;0;0.3;normal
1.779.152.484.733;2286812;ESP32-IDS-01;29.9;63.8;2242;25;20;3.75;dos
1.779.166.472.891;15619;ESP32-IDS-01;29.6;54.3;479;55;48;3.59;dos
1.779.152.041.119;1843161;ESP32-IDS-01;29.8;64.3;983;28;11;1.92;dos
1.779.164.895.017;566794;ESP32-IDS-01;30.5;61.3;846;26;10;3.98;dos
1.779.145.767.033;54535;ESP32-IDS-01;28.5;65.1;873;21;1;0.8;normal
1.779.148.802.328;606839;ESP32-IDS-01;28.9;68.5;423;20;0;2.1;normal
1.779.155.050.017;317032;ESP32-IDS-01;30.0;62.4;6093;377;535;0.56;dos
1.779.149.318.611;1123112;ESP32-IDS-01;28.9;68.3;805;29;13;0.2;normal
1.779.146.262.555;205399;ESP32-IDS-01;28.6;63.8;952;19;1;2.4;normal
1.779.166.018.266;124238;ESP32-IDS-01;31.5;57.5;807;43;63;5.08;dos
1.779.149.112.124;916629;ESP32-IDS-01;28.9;68.3;379;25;11;1.6;normal
1.779.148.627.573;432079;ESP32-IDS-01;28.8;69.1;610;20;1;1.6;normal
1.779.148.386.121;190611;ESP32-IDS-01;28.5;70.0;784;21;1;0.8;normal
1.779.146.344.731;26761;ESP32-IDS-01;28.7;65.3;931;20;1;0.9;normal
1.779.148.821.555;626067;ESP32-IDS-01;28.9;68.6;947;19;4;0.8;normal
1.779.146.252.953;195772;ESP32-IDS-01;28.6;65.4;914;20;2;0.4;normal
1.779.152.894.124;370757;ESP32-IDS-01;29.9;63.2;976;72;82;3.5;dos
1.779.154.798.799;56107;ESP32-IDS-01;30.0;62.3;563;3263;1815;1.3;dos
