timestamp_unix;timestamp_esp;device_id;suhu;kelembaban;interval_ms;latency_ms;jitter_ms;packet_rate;label
1.779.149.179.081;983579;ESP32-IDS-01;28.8;68.5;602;20;0;1.3;normal
1779154421.47;100514;ESP32-IDS-01;30.1;62.3;560;48;21;1.4;dos
1.779.146.252.953;195772;ESP32-IDS-01;28.6;65.4;914;20;2;0.4;normal
1.779.145.854.577;36811;ESP32-IDS-01;28.5;64.6;779;20;1;0.1;normal
1779145329.21;596128;ESP32-IDS-01;28.3;67.5;471;21;3;0.8;normal
1.779.146.054.042;236308;ESP32-IDS-01;28.5;65.5;485;20;0;2.6;normal
1.779.159.282.825;93966;ESP32-IDS-01;30.5;61.0;752;30;10;2.8;dos
1.779.148.641.073;445577;ESP32-IDS-01;28.8;69.0;729;20;1;1.6;normal
1.779.165.061.502;731875;ESP32-IDS-01;30.7;60.4;1286;144;173;0.7;dos
1.779.150.097.599;1902151;ESP32-IDS-01;28.9;67.8;780;20;1;1.2;dos
1.779.145.270.733;537647;ESP32-IDS-01;28.2;67.6;725;21;2;2.2;normal
1.779.156.037.185;35338;ESP32-IDS-01;30.0;60.8;10000;791;1503;3.38;dos
1.779.149.700.428;1504968;ESP32-IDS-01;29.0;67.9;807;20;0;0.6;normal
1779157658.07;131119;ESP32-IDS-01;30.2;61.3;4250;27;8;1.64;dos
1.779.149.190.265;994789;ESP32-IDS-01;28.8;68.5;381;20;1;1.7;normal
1.779.153.205.875;180604;ESP32-IDS-01;30.0;63.0;1243;38;32;1.3;dos
1.779.145.779.963;67465;ESP32-IDS-01;28.5;66.1;786;20;0;0.2;normal
1.779.148.991.001;795516;ESP32-IDS-01;29.0;68.3;775;21;1;1.8;normal
1.779.149.341.711;1146240;ESP32-IDS-01;29.0;68.2;476;20;1;0.1;normal
1.779.167.050.168;89006;ESP32-IDS-01;28.8;53.1;463;35;15;2.56;dos
1.779.154.467.569;146652;ESP32-IDS-01;30.1;62.4;993;25;12;4.31;dos
1.779.150.081.608;1886163;ESP32-IDS-01;28.9;67.8;879;19;3;3.5;dos
1779165874.13;126953;ESP32-IDS-01;31.4;57.8;995;54;4;4.21;dos
1.779.150.062.522;1867071;ESP32-IDS-01;29.0;67.7;334;21;1;1.6;dos
1.779.148.741.643;546150;ESP32-IDS-01;29.0;68.4;710;20;0;0.9;normal
1.779.149.087.438;891935;ESP32-IDS-01;28.9;68.3;586;19;2;0.6;normal
1.779.148.619.044;423548;ESP32-IDS-01;28.8;69.1;473;20;1;0.1;normal
1.779.153.251.663;226439;ESP32-IDS-01;30.0;62.8;300;43;17;2.4;dos
1.779.151.361.834;1163897;ESP32-IDS-01;29.9;64.4;352;19;1;1.6;dos
1.779.164.466.949;138745;ESP32-IDS-01;29.6;64.7;1177;18;1;0.2;dos
1.779.151.996.327;1798343;ESP32-IDS-01;29.8;64.4;613;38;13;0.9;dos
1.779.148.582.215;386717;ESP32-IDS-01;28.7;69.3;637;20;0;0.3;normal
1.779.159.152.338;95656;ESP32-IDS-01;30.5;60.7;876;46;52;2.0;dos
1.779.149.643.047;1447586;ESP32-IDS-01;29.0;67.7;961;20;2;2.8;normal
1.779.153.118.542;93356;ESP32-IDS-01;29.9;63.1;931;22;7;0.9;dos
1.779.166.734.941;280131;ESP32-IDS-01;29.2;53.0;579;33;6;5.35;dos
1.779.148.268.549;73038;ESP32-IDS-01;28.1;70.2;755;21;1;2.6;normal
1.779.145.700.426;967362;ESP32-IDS-01;28.5;64.8;713;19;1;1.3;normal
1.779.151.191.947;993981;ESP32-IDS-01;29.8;64.9;363;26;22;3.85;dos
1.779.150.563.678;365653;ESP32-IDS-01;29.2;67.2;970;33;14;2.56;dos
1.779.149.109.448;913969;ESP32-IDS-01;28.9;68.3;540;20;1;2.7;normal
1779159420.12;231310;ESP32-IDS-01;30.6;61.1;1218;30;11;1.32;dos
1.779.156.739.868;415322;ESP32-IDS-01;30.1;61.7;851;9999;0;0.1;dos
1.779.149.581.271;1385779;ESP32-IDS-01;29.1;67.8;374;29;15;3.0;normal
1.779.149.575.315;1379851;ESP32-IDS-01;29.1;67.8;439;20;1;2.8;normal
1.779.156.390.946;83019;ESP32-IDS-01;30.1;61.8;10000;168;141;2.5;dos
1.779.149.287.643;1092171;ESP32-IDS-01;28.9;68.4;982;19;1;1.9;normal
1.779.151.979.672;1781587;ESP32-IDS-01;29.8;64.2;1330;57;42;2.0;dos
1779149551.59;1355944;ESP32-IDS-01;29.0;67.9;875;80;92;0.5;normal
1.779.146.029.941;210964;ESP32-IDS-01;28.6;64.2;317;434;621;1.9;normal
1.779.146.104.706;47375;ESP32-IDS-01;28.5;62.4;634;77;86;1.3;normal
1.779.151.850.772;1650910;ESP32-IDS-01;29.8;64.4;10000;650;902;1.2;dos
1.779.148.255.897;60387;ESP32-IDS-01;28.0;70.0;300;20;4;2.4;normal
1.779.166.289.314;145701;ESP32-IDS-01;30.5;54.7;1309;37;28;1.06;dos
1.779.154.985.341;234810;ESP32-IDS-01;30.0;62.5;672;1862;963;5.18;dos
1.779.146.442.588;70334;ESP32-IDS-01;28.7;63.7;672;19;1;2.2;normal
1.779.145.512.031;778929;ESP32-IDS-01;28.3;70.9;754;21;3;3.4;normal
1779145655.48;922419;ESP32-IDS-01;28.4;66.7;1179;18;1;1.2;normal
1.779.148.775.063;579566;ESP32-IDS-01;28.9;68.5;680;20;0;2.0;normal
1.779.151.360.299;1162173;ESP32-IDS-01;29.9;64.4;665;84;195;3.1;dos
1.779.146.746.176;121596;ESP32-IDS-01;28.6;64.8;851;20;1;0.1;normal
1.779.158.721.703;184441;ESP32-IDS-01;30.1;61.7;933;9999;0;1.37;dos
1.779.148.800.452;604962;ESP32-IDS-01;28.9;68.5;629;20;0;0.4;normal
1.779.149.386.134;1190662;ESP32-IDS-01;29.0;68.1;598;20;1;2.3;normal
1.779.154.474.788;151539;ESP32-IDS-01;30.1;62.3;697;27;9;4.23;dos
1.779.151.058.618;860643;ESP32-IDS-01;29.7;65.4;443;28;10;4.66;dos
1.779.166.062.257;166132;ESP32-IDS-01;31.5;56.4;1178;32;19;3.95;dos
1779148595.28;399719;ESP32-IDS-01;28.8;69.2;783;19;3;2.2;normal
1.779.154.528.382;196389;ESP32-IDS-01;30.1;62.3;957;9999;0;3.39;dos
1.779.145.602.505;869405;ESP32-IDS-01;28.4;68.0;936;21;1;1.2;normal
1.779.152.084.116;1886175;ESP32-IDS-01;29.8;64.4;589;25;25;2.9;dos
1.779.148.682.805;487306;ESP32-IDS-01;28.9;68.8;797;21;2;0.6;normal
1.779.153.611.981;586794;ESP32-IDS-01;30.0;62.7;477;35;16;4.6;dos
1779152476.69;2257614;ESP32-IDS-01;29.9;63.9;10000;9999;0;1.76;dos
1779148658.32;462818;ESP32-IDS-01;28.9;69.0;792;20;3;2.6;normal
1.779.150.740.961;542975;ESP32-IDS-01;29.4;66.6;774;22;8;1.79;dos
1.779.150.120.559;1925112;ESP32-IDS-01;28.9;67.9;494;20;1;0.9;dos
1.779.151.370.485;1172547;ESP32-IDS-01;29.9;64.4;780;20;0;0.4;dos
1.779.145.631.659;898586;ESP32-IDS-01;28.4;65.3;958;21;2;1.6;normal
1.779.148.357.026;161530;ESP32-IDS-01;28.5;70.1;627;17;0;1.9;normal
1.779.148.665.081;469584;ESP32-IDS-01;28.9;69.0;944;20;4;2.9;normal
1.779.152.980.296;457056;ESP32-IDS-01;29.9;61.5;970;31;16;2.56;dos
1.779.152.520.895;2322571;ESP32-IDS-01;29.9;63.6;10000;136;260;1.08;dos
1.779.145.325.393;592316;ESP32-IDS-01;28.3;68.9;712;19;3;1.6;normal
1.779.150.782.208;583090;ESP32-IDS-01;29.5;66.3;7417;392;496;1.93;dos
1.779.151.899.727;1701785;ESP32-IDS-01;29.8;64.4;472;28;23;8.76;dos
1.779.152.778.706;239945;ESP32-IDS-01;29.9;63.4;762;9999;0;2.2;dos
1.779.160.137.026;53198;ESP32-IDS-01;30.7;61.1;322;27;15;2.4;dos
1.779.145.942.888;125147;ESP32-IDS-01;28.6;63.2;449;20;0;3.3;normal
1.779.167.525.994;564858;ESP32-IDS-01;28.6;51.7;643;20;5;2.06;dos
1.779.149.121.804;926323;ESP32-IDS-01;28.9;68.3;300;20;1;2.8;normal
1.779.149.601.135;1405649;ESP32-IDS-01;29.1;67.7;436;19;1;2.2;normal
1.779.145.195.057;461970;ESP32-IDS-01;28.3;71.6;404;20;2;2.1;normal
1.779.151.385.217;1187283;ESP32-IDS-01;29.9;64.3;729;20;0;1.6;dos
1779146638.92;14344;ESP32-IDS-01;28.7;65.0;965;19;1;2.3;normal
1.779.149.404.972;1209507;ESP32-IDS-01;29.0;68.1;426;18;2;1.4;normal
1.779.145.764.883;52387;ESP32-IDS-01;28.5;66.6;933;19;2;0.3;normal
1.779.150.294.795;96785;ESP32-IDS-01;28.8;67.9;799;27;8;3.2;dos
1779150474.39;276345;ESP32-IDS-01;29.0;67.8;370;38;26;0.2;dos
1779166409.16;58965;ESP32-IDS-01;30.0;55.6;10000;9999;0;2.5;dos
1.779.146.195.419;138231;ESP32-IDS-01;28.6;62.9;400;18;2;1.2;normal
1.779.148.848.903;653413;ESP32-IDS-01;28.9;68.6;442;20;1;2.4;normal
1.779.167.288.548;319322;ESP32-IDS-01;28.7;53.0;10000;1540;3031;0.6;dos
1.779.151.566.014;1368061;ESP32-IDS-01;29.9;64.1;892;19;3;0.3;dos
1.779.167.262.041;300937;ESP32-IDS-01;28.7;53.0;976;19;8;3.5;dos
1.779.149.407.508;1212032;ESP32-IDS-01;29.0;68.1;796;21;3;2.8;normal
1.779.146.490.298;118065;ESP32-IDS-01;28.6;64.4;315;21;1;0.2;normal
